feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
-|Δf0|,Farsi,0.579884869546452,0.0081419619213585,0.563922933462948,0.595846805629956,common language effect size,46
Spectral centroid,Farsi,0.619370474682699,0.00901496863275723,0.601695349777305,0.637045599588092,common language effect size,46
f0,Persian,0.994724371723744,0.000603087424881318,0.993542016070976,0.995906727376511,common language effect size,47
-|Δf0|,Persian,0.556673296346697,0.00869252082997143,0.539630596400857,0.573715996292537,common language effect size,47
Spectral centroid,Persian,0.703999043038894,0.00900020674852129,0.686351412072513,0.721646674005275,common language effect size,47
f0,Kannada,0.900822506341546,0.00408700170982718,0.892810226439734,0.908834786243358,common language effect size,48
-|Δf0|,Kannada,0.726599434266959,0.00717886072525529,0.712525289031822,0.740673579502097,common language effect size,48
Spectral centroid,Kannada,0.540937177588118,0.00921810316615315,0.522863761203693,0.559010593972542,common language effect size,48
f0,Japanese,0.83811948897107,0.00560803844137787,0.827124977829791,0.849114000112349,common language effect size,49
-|Δf0|,Japanese,0.651443936115469,0.00794715760260105,0.635863401984188,0.66702447024675,common language effect size,49
Spectral centroid,Japanese,0.636558,0.00896669258556141,0.618978142006153,0.654137857993847,common language effect size,49
f0,English,0.941749988181017,0.00273459616263609,0.936389199227545,0.947110777134488,common language effect size,50
-|Δf0|,English,0.666275629812759,0.00695243349632489,0.652646340771453,0.679904918854066,common language effect size,50
Spectral centroid,English,0.611544156496442,0.00915553782169087,0.593593015988515,0.629495297004369,common language effect size,50
f0,Georgian,0.96522903494911,0.00195947658705979,0.961387500032091,0.969070569866128,common language effect size,51
-|Δf0|,Georgian,0.730749914529598,0.00644504809215124,0.718115220418484,0.743384608640712,common language effect size,51
Spectral centroid,Georgian,0.505313118449982,0.0092589540151924,0.487159681135509,0.523466555764454,common language effect size,51
f0,Puri,0.999999050716785,9.10274398147183e-07,0.999997266083005,1.00000083535056,common language effect size,52
-|Δf0|,Puri,0.83936381317195,0.00603444637109279,0.827532678258733,0.851194948085168,common language effect size,52
Spectral centroid,Puri,0.539871001155517,0.00952738321668457,0.521190526750739,0.558551475560295,common language effect size,52
f0,Norwegian,0.942736595446778,0.00337925353000529,0.936111482398839,0.949361708494716,common language effect size,53
-|Δf0|,Norwegian,0.757889419123289,0.00685157867057835,0.744456923404178,0.771321914842401,common language effect size,53
Spectral centroid,Norwegian,0.559688064183569,0.00922550695353904,0.541599765976151,0.577776362390986,common language effect size,53
f0,Kuikuro,0.891814624635088,0.00511079328405635,0.881793675050037,0.901835574220139,common language effect size,54
-|Δf0|,Kuikuro,0.754716790781084,0.00770274217043675,0.739614180463613,0.769819401098556,common language effect size,54
Spectral centroid,Kuikuro,0.467658332383806,0.00920140259789467,0.449618158206045,0.485698506561567,common language effect size,54
f0,Ainu,0.885376273548341,0.00509851337091123,0.875380490647578,0.895372056449105,common language effect size,55
-|Δf0|,Ainu,0.769151148396359,0.00732055388410562,0.754798967141857,0.783503329650862,common language effect size,55
Spectral centroid,Ainu,0.495525712203759,0.00917995956000602,0.477527722168134,0.513523702239383,common language effect size,55
f0,Slovenian,0.967610281121993,0.00246146625748332,0.962784544983391,0.972436017260595,common language effect size,56
-|Δf0|,Slovenian,0.600459872885174,0.00869647384870459,0.583409772823533,0.617509972946815,common language effect size,56
Spectral centroid,Slovenian,0.547081781448106,0.00932092037716045,0.528806383285275,0.565357179610938,common language effect size,56
f0,Portuguese,0.953179223665237,0.00257915687715193,0.948122814582262,0.958235632748212,common language effect size,57
-|Δf0|,Portuguese,0.475026046596091,0.0085559771367383,0.458252007655831,0.49180008553635,common language effect size,57
Spectral centroid,Portuguese,0.745064584425927,0.00829173424697499,0.728805698353751,0.761323470498103,common language effect size,57
f0,Polish,0.547456756086146,0.00813691638173673,0.531504875002569,0.563408637169723,common language effect size,58
-|Δf0|,Polish,0.604665656556971,0.00804598750800196,0.588891257450978,0.620440055662965,common language effect size,58
Spectral centroid,Polish,0.37361038961039,0.00885453401919096,0.356250568518287,0.390970210702492,common language effect size,58
f0,DutchFlemish,0.825148550333407,0.00591936367908255,0.813544049539325,0.836753051127489,common language effect size,59
-|Δf0|,DutchFlemish,0.60177634430814,0.00791981411321829,0.586250063257226,0.617302625359054,common language effect size,59
Spectral centroid,DutchFlemish,0.463848285752177,0.00914774805485002,0.445913491553986,0.481783079950367,common language effect size,59
f0,Japanese,0.966739621867473,0.00191876557428222,0.962978057997017,0.970501185737928,common language effect size,60
-|Δf0|,Japanese,0.48618846229999,0.00798017974575701,0.470543758476872,0.501833166123109,common language effect size,60
Spectral centroid,Japanese,0.498261364070588,0.00915511251375727,0.480312078600989,0.516210649540188,common language effect size,60
f0,Guarani,0.85073542678634,0.00614579018274765,0.838686492216882,0.862784361355798,common language effect size,61
-|Δf0|,Guarani,0.751853470082325,0.00711234851118532,0.737909784195635,0.765797155969016,common language effect size,61
Spectral centroid,Guarani,0.450458678706624,0.00914245485310152,0.43253402986276,0.468383327550488,common language effect size,61
f0,Spanish,0.928936643985632,0.00354255391438749,0.921991570025041,0.935881717946223,common language effect size,62
-|Δf0|,Spanish,0.488507724206407,0.00800159786659904,0.472821067472459,0.504194380940355,common language effect size,62
Spectral centroid,Spanish,0.537593774856512,0.00953536905016049,0.518897306673704,0.55629024303932,common language effect size,62
f0,Dutch,0.673411239704331,0.00862363539219015,0.656503644784624,0.690318834624037,common language effect size,63
-|Δf0|,Dutch,0.722339230690143,0.00817766344999846,0.706306183003009,0.738372278377277,common language effect size,63
Spectral centroid,Dutch,0.445832638889582,0.00909022939082948,0.428010617562415,0.463654660216749,common language effect size,63
f0,Cantonese,0.88107922742559,0.00449195492914647,0.872272987965555,0.889885466885624,common language effect size,64
-|Δf0|,Cantonese,0.706760885453624,0.00737997279388894,0.692292552391688,0.721229218515561,common language effect size,64
Spectral centroid,Cantonese,0.5958282476764,0.00896514532448556,0.578251440412767,0.613405054940032,common language effect size,64
f0,Burmese,0.975588913416728,0.00157201272568247,0.972507103269406,0.97867072356405,common language effect size,65
-|Δf0|,Burmese,0.666668477953246,0.0075616858820882,0.651843912464272,0.681493043442221,common language effect size,65
Spectral centroid,Burmese,0.723649669418165,0.00826291919674448,0.707448818680365,0.739850520155964,common language effect size,65
f0,Rikbaktsa,0.545897576838866,0.00991817118879789,0.526450182506211,0.565344971171522,common language effect size,66
-|Δf0|,Rikbaktsa,0.551751527974394,0.00987847903885341,0.532381667114771,0.571121388834016,common language effect size,66
Spectral centroid,Rikbaktsa,0.3632355,0.00901256427561885,0.345565817072875,0.380905182927125,common language effect size,66
f0,Gaeilge,0.876913942637515,0.00520300799818546,0.866712510188683,0.887115375086347,common language effect size,67
-|Δf0|,Gaeilge,0.701911664241161,0.00766049199654331,0.686893089179527,0.716930239302796,common language effect size,67
Spectral centroid,Gaeilge,0.276247977796429,0.00837394305009955,0.259829864623565,0.292666090969294,common language effect size,67
f0,Twi,0.951255326208252,0.00430631499791572,0.942808326183771,0.959702326232733,common language effect size,68
-|Δf0|,Twi,0.698825727106106,0.00913978946152466,0.680902025452517,0.716749428759695,common language effect size,68
Spectral centroid,Twi,0.665317956905313,0.00885484993066748,0.647957230537275,0.682678683273351,common language effect size,68
f0,Fante,0.729602846862299,0.00702022633441685,0.715839940253862,0.743365753470737,common language effect size,69
-|Δf0|,Fante,0.718991355630958,0.00746277159441838,0.704359738310428,0.733622972951489,common language effect size,69
Spectral centroid,Fante,0.635514,0.0088954135229832,0.618073360091295,0.652954639908706,common language effect size,69
f0,Te Reo Māori,0.65459175008396,0.00782351755776117,0.63925401529012,0.6699294848778,common language effect size,70
-|Δf0|,Te Reo Māori,0.716315120078763,0.00740532228515741,0.70179659751564,0.730833642641886,common language effect size,70
Spectral centroid,Te Reo Māori,0.473667262272959,0.00926180498986078,0.455508004142303,0.491826520403616,common language effect size,70
f0,Ngarigu,0.909673233898694,0.00414073754023099,0.901554499963515,0.917791967833873,common language effect size,71
-|Δf0|,Ngarigu,0.610649665038041,0.00819597305497023,0.594581409894344,0.626717920181737,common language effect size,71
Spectral centroid,Ngarigu,0.547820381442463,0.00969527480086348,0.528810559854895,0.566830203030031,common language effect size,71
f0,Dholuo,0.692368051370193,0.00820954416613059,0.676270458506469,0.708465644233917,common language effect size,72
-|Δf0|,Dholuo,0.632815482920658,0.00810129923962954,0.616932393143924,0.648698572697392,common language effect size,72
Spectral centroid,Dholuo,0.619440203562341,0.00909598691914566,0.60160606269829,0.637274344426392,common language effect size,72
f0,Tunisian,0.944741351708463,0.0028360614170089,0.9391813271161,0.950301376300826,common language effect size,73
-|Δf0|,Tunisian,0.667786701781444,0.00773325351142946,0.652624934785426,0.682948468777461,common language effect size,73
Spectral centroid,Tunisian,0.479070380169281,0.00955118058850015,0.460343258899705,0.497797501438857,common language effect size,73
f0,Te Reo Māori,0.871278952222483,0.00530893870529766,0.860869871138933,0.881688033306033,common language effect size,74
-|Δf0|,Te Reo Māori,0.620989895648954,0.00764305506934665,0.606006362383064,0.635973428914845,common language effect size,74
Spectral centroid,Te Reo Māori,0.487938939076189,0.0093860973629643,0.46953557663477,0.506342301517608,common language effect size,74
f0,Cherokee,0.99091884447494,0.000850389419957229,0.989251424993882,0.992586263955998,common language effect size,75
-|Δf0|,Cherokee,0.556496664238855,0.00844935149413352,0.539930520396039,0.57306280808167,common language effect size,75
Spectral centroid,Cherokee,0.447479158971239,0.00913322096259835,0.429572953720816,0.465385364221662,common language effect size,75
